UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type
1,M14860,M,298.1,308.6,1551,42.8,0,0,No Failure
2,L47181,L,298.2,308.7,1408,46.3,3,0,No Failure
3,L47182,L,298.1,308.5,1498,49.4,5,0,No Failure
4,L47183,L,298.2,308.6,1433,39.5,7,0,No Failure
5,L47184,L,298.2,308.7,1408,40,9,0,No Failure
6,M14861,M,298.1,308.6,1425,41.9,11,0,No Failure
7,L47185,L,298.1,308.6,1558,38.1,14,0,No Failure
8,L47186,L,298.1,308.6,1527,40.2,16,0,No Failure
9,M14862,M,298.3,308.7,1667,28.6,18,0,No Failure
10,M14863,M,298.5,309,1741,28,21,0,No Failure
11,H29424,H,298.4,308.9,1782,23.9,24,0,No Failure
12,H29425,H,298.6,309.1,1423,44.3,29,0,No Failure
13,M14864,M,298.6,309.1,1339,51.1,34,0,No Failure
14,M14865,M,298.6,309.2,1742,30,37,0,No Failure
15,L47187,L,298.6,309.2,2035,19.6,40,0,No Failure
16,L47188,L,298.6,309.2,1542,48.4,42,0,No Failure
17,M14866,M,298.6,309.2,1311,54.1,45,0,No Failure
18,M14867,M,298.7,309.2,1410,45.6,47,0,No Failure
19,H29426,H,298.8,309.2,1306,54.5,50,0,No Failure
20,M14868,M,298.9,309.3,1632,32.5,55,0,No Failure
21,L47189,L,298.9,309.3,1455,41.3,57,0,No Failure
22,L47190,L,298.9,309.3,1450,44.8,59,0,No Failure
23,M14869,M,298.9,309.3,1581,30.7,64,0,No Failure
24,L47191,L,299,309.4,1758,25.7,68,0,No Failure
25,M14870,M,299,309.4,1561,37.2,71,0,No Failure
26,L47192,L,299,309.5,1861,23.3,73,0,No Failure
27,M14871,M,299,309.4,1531,40.3,76,0,No Failure
28,M14872,M,299.1,309.4,1467,41.4,81,0,No Failure
29,L47193,L,299.1,309.4,1368,44.4,84,0,No Failure
30,L47194,L,299.1,309.4,1423,47.6,87,0,No Failure
31,H29427,H,299.1,309.3,1375,53.7,92,0,No Failure
32,M14873,M,299.1,309.3,1414,52.8,95,0,No Failure
33,L47195,L,299.1,309.3,1500,37.9,98,0,No Failure
34,M14874,M,299.1,309.2,1306,59.7,101,0,No Failure
35,L47196,L,299.1,309.2,1413,44,103,0,No Failure
36,M14875,M,299.2,309.2,1315,55.1,108,0,No Failure
37,L47197,L,299.2,309.3,1408,50,111,0,No Failure
38,M14876,M,299.2,309.3,1397,49.2,116,0,No Failure
39,L47198,L,299.2,309.3,1348,50.1,119,0,No Failure
40,M14877,M,299.2,309.3,1412,47.4,121,0,No Failure
41,M14878,M,299.1,309.2,1445,43.4,124,0,No Failure
42,L47199,L,299.1,309.2,1462,42,127,0,No Failure
43,L47200,L,299.1,309.2,1482,41.2,130,0,No Failure
44,M14879,M,299.1,309.2,1466,41,135,0,No Failure
45,M14880,M,299.1,309.2,1427,42.5,138,0,No Failure
46,L47201,L,299.1,309.2,1441,40.1,141,0,No Failure
47,L47202,L,299.1,309.1,1545,39.6,143,0,No Failure
48,M14881,M,299.1,309.1,1434,44.4,146,0,No Failure
49,L47203,L,299.1,309.1,1451,44.8,148,0,No Failure
50,L47204,L,299.1,309.1,1413,44.1,153,1,HDF
51,M14882,M,302.1,312.1,1300,75.0,10,1,PWF
52,L47205,L,304.1,315.1,1200,80.0,200,1,OSF
53,H29428,H,298.1,308.1,2800,10.0,250,1,TWF
54,L47206,L,305.1,316.1,1400,65.0,100,1,HDF
55,L47207,L,305.5,316.5,1350,70.0,180,1,HDF
56,M14883,M,303.0,314.0,1250,85.0,20,1,PWF
57,L47208,L,304.5,315.5,1150,90.0,190,1,OSF
58,H29429,H,299.0,309.5,2850,5.0,253,1,TWF
59,L47209,L,306.0,317.0,1450,68.0,120,1,HDF
60,M14884,M,304.0,315.0,1320,77.0,30,1,PWF
61,L47210,L,305.0,316.0,1220,82.0,210,1,OSF
62,H29430,H,298.5,308.5,2780,12.0,245,1,TWF
63,L47211,L,306.5,317.5,1420,72.0,110,1,HDF
64,M14885,M,303.5,313.5,1310,79.0,15,1,PWF
65,L47212,L,304.8,315.8,1180,88.0,205,1,OSF
66,H29431,H,298.2,308.2,2820,8.0,251,1,TWF
67,L47213,L,305.8,316.8,1410,69.0,115,1,HDF
68,M14886,M,303.2,313.2,1305,76.5,25,1,PWF
69,L47214,L,304.2,315.2,1190,81.0,202,1,OSF
70,H29432,H,298.7,308.7,2810,9.0,248,1,TWF
